,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Pollution Index
100,District Of Columbia,2009,18.30295406906076,23.65621546961325,4.529059987569056,865.7245718232022,912.2128013494453
101,District Of Columbia,2010,17.643917554945038,28.23999450549446,3.360865269230769,883.861082417585,933.1058597472552
102,District Of Columbia,2011,15.92879966435991,24.58485697808538,3.5996834619377145,668.8640432525951,712.9773833569782
103,District Of Columbia,2012,16.273087274492475,25.915747572815484,1.682196920564868,594.510048543687,638.3810803115599
104,District Of Columbia,2013,11.500348711450378,25.50544122137395,0.9909780053435142,340.4356458015289,378.43241373969676
105,District Of Columbia,2014,12.302943370023447,24.595138173302015,1.1175846030444978,358.65022716627664,396.6658933126466
106,District Of Columbia,2015,13.233156556732208,26.66851588502266,1.2680819417549176,272.98412556732194,314.1538799508317
107,District Of Columbia,2016,12.460649844827593,31.05715517241381,0.9719559310344821,257.10154310344865,301.59130405172453
108,Florida,2000,12.453038323033741,26.261261235955068,1.9739121432584248,725.0718848314613,765.7600965337085
109,Florida,2001,12.387594238297885,24.16237588652496,1.1479179319148913,638.5253248226963,676.2232128794341
110,Florida,2002,11.313961369146014,23.168024793388405,0.6619460275482102,471.4328870523409,506.57681924242354
111,Florida,2003,10.929812842541425,23.416610497237592,0.6560634558011047,441.2717444751379,476.274231270718
112,Florida,2004,9.516472522471888,25.96404494382031,0.6482978623595518,520.8142556179768,556.9430709466285
113,Florida,2005,8.6443595096953,27.013867036011128,0.5196247479224395,564.0615027700825,600.2393540637114
114,Florida,2006,8.51996240547944,29.191479452054857,0.39075961643835644,389.18460821917785,427.28680969315053
115,Florida,2007,6.136312015089166,28.464311385459574,0.6592847105624109,284.00619821673445,319.2661063278456
116,Florida,2008,5.214251262499985,27.827562499999978,0.5513394476562467,223.5211382812495,257.1142914914057
117,Florida,2009,6.0279421235631965,28.4743477011494,0.12143105890804574,337.61266091954025,372.2363818031609
118,Florida,2010,5.672489389972144,28.882025069637955,0.1477912367688019,394.0046949860722,428.7070006824511
119,Florida,2011,5.361869504109598,28.131008219178057,0.09644472876712325,433.69493013698775,467.2842525890425
120,Florida,2012,5.40692617759562,26.901896174863317,0.05960993715847,382.4623811475412,414.8308134371586
121,Florida,2013,4.5457268704225475,26.027166197183092,-0.02581982253521128,297.42501267605587,327.9720859211263
122,Florida,2014,4.9794516055555516,26.022286111111093,0.10933308749999984,457.5681458333335,488.6792166375002
123,Florida,2015,4.109642247863238,25.70759259259262,0.035066821937321975,514.1023974358968,543.95469909829
124,Florida,2016,5.492868956043958,29.2129230769231,0.39640819780219744,573.6684395604397,608.7706397912089
125,Georgia,2010,16.500656434782634,16.583521739130433,1.147945173913043,396.88919021739144,431.1213135652176
126,Georgia,2011,13.381185286501351,22.98624242424248,0.8936667575757552,331.72545041322303,368.9865448815426
127,Georgia,2012,11.583259458046767,22.031144429160964,0.4395215220082541,330.5437303988996,364.5976558081156
128,Georgia,2013,9.439669561959636,19.709374639769507,0.3217426945244974,297.99807492795355,327.4688618242072
129,Georgia,2014,10.429543384831451,20.054216292134875,0.359923981741575,313.541029494382,344.3847131530899
130,Georgia,2015,9.6730032427746,19.226491329479735,0.254999252890175,313.77710115606897,342.9315949812135
131,Georgia,2016,11.935326111111106,19.770380952380947,0.28865295238095234,317.16959523809544,349.1639552539684
132,Hawaii,2011,2.8897305512073213,27.078975853455454,0.9096265303913412,316.3531990008278,347.2315319358819
133,Hawaii,2012,2.8904910655375797,24.251660530191128,0.8715059756995587,384.63014248893865,412.6438000603669
134,Hawaii,2013,3.116694443798449,28.222939922480506,1.279402979651163,416.3854408914733,449.0044782374034
135,Hawaii,2014,3.4493033284313594,23.971549019607743,0.9861970571895421,337.6765526960814,366.08360210131
136,Hawaii,2015,3.5649830557163757,23.76297395079576,1.0550591360347397,389.9868415340053,418.36985767655216
137,Idaho,2009,6.337445621621625,34.15621621621626,0.2210766148648648,141.60641216216223,182.32115061486496
138,Idaho,2010,9.39700466944445,26.446447222222126,0.323219595833333,179.64315625000006,215.80982773749997
139,Idaho,2011,9.925650260869565,12.998608695652164,0.7152670869565216,272.311456521739,295.95098256521726
140,Illinois,2000,26.437457477272847,17.104860795454492,6.064269409801127,702.8934048295447,752.4999925120732
141,Illinois,2001,22.356801789574014,20.865881754609028,5.479874905276553,591.7895225683421,640.4920810178018
142,Illinois,2002,19.853930602250173,21.77759166115157,4.178522507279946,590.666702183984,636.4767469546656
143,Illinois,2003,20.68405669391311,20.922853913043554,5.027722805217389,512.7150547826076,559.3496881947816
144,Illinois,2004,18.81421912351944,20.636064297800335,4.125006906937381,577.7406785109999,621.315968839257
145,Illinois,2005,17.899080328621874,24.536261484098812,4.829198297703172,456.6029699646631,503.86751007508695
146,Illinois,2006,17.391594790235082,21.143596745027057,2.7122780189873374,371.33595840867974,412.58342796292925
147,Illinois,2007,14.50169326205606,23.4366661682244,1.6630271373831702,326.55055551401983,366.15194208168344
148,Illinois,2008,14.085935269324663,21.669790886899932,1.5833501574450806,275.4500345809614,312.7891108946311
149,Illinois,2009,13.417118030383994,20.62840066777968,1.4401344524206987,265.6580656093508,301.14371875993515
150,Illinois,2010,13.035390209780225,26.312210489014944,2.1081308430191377,347.1472069454287,388.602938487243
151,Illinois,2011,12.110594167196412,24.86672536554365,2.4854753919262498,340.2231068022873,379.6859017269536
152,Illinois,2012,11.954034387878833,27.684872727272637,1.1132748227272713,294.95801666666677,335.7101986045455
153,Illinois,2013,10.98377138412701,23.803281481481406,0.8788289349206346,292.0460137566149,327.711895557144
154,Illinois,2014,10.547532697025993,24.02569702602236,0.9828916459107809,300.02436059479675,335.5804819637559
155,Illinois,2015,8.380404258227822,25.771535021096952,1.184274210126581,302.5427059071729,337.87891939662427
156,Illinois,2016,10.374431642458113,25.01432960893851,0.9416912709497208,309.3167374301688,345.64718995251513
157,Indiana,2000,15.287580371257468,29.781718562874254,7.350800841317349,872.9743592814369,925.394459056886
158,Indiana,2001,14.947843544943792,32.15273033707864,3.313779028089887,382.7131657303376,433.1275186404499
159,Indiana,2002,16.39270371093748,35.50572656250006,3.5119717695312502,444.14628906250067,499.55669110546944
